,user_id,giorno_min,giorno_max,durata_vita,conteggio_giorni_totale,device_type,browser_type,os_type,site_giallozafferano,site_repubblica,site_subito,site_ansa,site_kijiji,site_corriere,site_ebay,site_pianetadonna,site_aranzulla,site_greenme,site_gazzetta,site_sole24ore,site_pourfemme,site_alfemminile,site_corrieresport,site_cookaround,site_autoscout,site_staseratv,prima_citta_stato_cod,prima_citta_cod
1557,5312,2019-05-06 00:00:00.000000,2019-05-06 00:00:00.000000,1,1,1.0,254.0,131.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*
1558,5314,2019-12-06 00:00:00.000000,2019-12-06 00:00:00.000000,1,1,1.0,173.0,133.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*
1559,5316,2019-06-15 00:00:00.000000,2019-06-16 00:00:00.000000,2,2,2.0,251.0,144.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*
1560,5317,2019-04-01 00:00:00.000000,2019-04-06 00:00:00.000000,152,37,1.0,*,131.0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,ITA,MI
1561,5322,2019-06-15 00:00:00.000000,2019-06-15 00:00:00.000000,1,1,5.0,227.0,132.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*
1562,5324,2019-05-25 00:00:00.000000,2019-05-25 00:00:00.000000,1,1,2.0,86.0,124.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*
1563,5337,2019-06-15 00:00:00.000000,2019-06-15 00:00:00.000000,1,1,1.0,173.0,133.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*
1564,5338,2019-06-13 00:00:00.000000,2019-06-13 00:00:00.000000,1,1,1.0,173.0,133.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*
1565,5341,2019-05-26 00:00:00.000000,2019-05-28 00:00:00.000000,3,2,1.0,33.0,133.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*
1566,5343,2019-12-06 00:00:00.000000,2019-12-06 00:00:00.000000,1,1,1.0,128.0,131.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*
1567,5344,2019-04-20 00:00:00.000000,2019-05-06 00:00:00.000000,47,4,1.0,173.0,133.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*
1568,5347,2019-11-06 00:00:00.000000,2019-11-06 00:00:00.000000,1,1,2.0,255.0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*
1569,5367,2017-02-06 00:00:00.000000,2019-06-16 00:00:00.000000,745,447,1.0,173.0,*,20,6,87,2,23,1,6,0,0,0,0,0,0,3,0,2,0,0,ITA,RM
